sentence_id,base_form_id,word_index,source,source file,gloss_syllabary,gloss_phonetic,gloss_english
051e0b068923,7a77eaf1e6a1dad2,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏍᏓᏴᎲᏍᎩ,u:sdà:yv̋:hvsgi,his wife
81bf4426d4dc,7ff4cc88351cd966,6,CNT,lily-dict.csv,ᎦᎻᏂ,gamini,cummin
a490b44f2eea,1d74d74983d4cd85,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎭᎵᏍᏚᎳᏅ,halsdǔ:lâ:nv,Put on a cap
70b3cd912c19,77c159d1c8628d32,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᏍᎦᏝ?,u:di:sgahla,is he hiding?
e8c794cce52f,08b461b50b9b253f,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᎱᏣᏬᎳᏛᏓ?,di:hu:jawǒ:ldv̋:da,stove pipes?
4e8634a9f45a,6075813eafad777e,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏪᎯᏍᏓᏁᎰᎢ.,ù:we:hisdâ:ne:hó:'i,hurts.
e821a6361a59,33d1f06ceebcc22f,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᏭᏓᎸᏅ,uwu:dalv̂:nv́,He hitched up
65a99d854b2d,246758da2f68c5d7,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎫᎫ,gù:gu,bottles
27157fc98b44,92edde4cede005c7,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏅᏬ,ganv:wó:,His shoulder
b78224dfe925,f2fafd969247501a,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎦᏂᏟ,gani:hli,a bed.
808b49aeb273,d455be483ecaf642,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,,,crazy.
9d30f416a06c,8757953b883b5e14,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎪᎳ,ko:la,bones.
732d49fa76d9,6bc7d42dda01ac3e,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏟᎶᏍᏗ,ahli:lő:sdi,ruler.
756b41d26e98,03089f21ea993296,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏍᏆᎵᏍᎪᎸᏓᏏ,sgwalsgo:lhdà:sî,Permit me
c75e2bed4ba5,d599f7cf6a721086,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏚᏭᎪᏔᏅᎢ.,dù:wu:ktánv́:'i,He decided
52688b116ec3,f75c1b4f49aa5c09,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏓᏤᏫᏍᎪᏊ.,dà:je:wî:sgó:gwu,he just wastes it.
2ac86c3f597c,cc17a1b66a07bcaf,1,rrd,lily-dict.csv,ᎠᏍᎩᎾ,,the Devil
4fa6cd407f0d,be7aba423a93e242,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏂᏙᎾᎥᎢ.,à:nidó:na'v̌:'i,They were standing
6fe39a7ec10a,5e71dda090cb9fee,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎦᎾᏮᏍ,u:ga:nawav̋:s,a Democrat?
3675b4c4603e,4bfe73dda32d7316,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎢᎩᏓ,i̋:kida,size
f2dda09e2422,5c071ca623c2af4a,2,rrd,lily-dict.csv,ᎫᎴ,,acorns
bfb7dc115593,4519715293725781,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏔᏄᏣ?,a:tanű:ja,teenage
6001ea415b68,ba99386eeb496181,3,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏗᏯᏖᎾ?,di:hyahtě:na,boards
0db52c6d7d09,b86ac7e54d70ca7c,7,rrd,lily-dict.csv,ᎤᏲᎵᎸᎢ,,salutation
9f8095c44c9e,cd03ea53933c7686,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎤᎾᏦᎾᏘ,u:najo:nati,Rattlesnakes
4787349e1a02,681b60e8f399ee5d,0,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎩᎳ,kilá,just
f4323d3b68d0,04278139f1dbcc45,1,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᏩᎩᏗᏍᏗ,wà:gidi:sdi̋:,me to send
fd50b5609f58,6f19c15c8466a2a1,2,Cherokee Dictionary 1975 Durbin Feeling,cn-app-dictionary.csv,ᎠᏂᏴᏩᎩ,ani:yv:wágì:sgi,cannibals.
