sentence_id,syllabary,phonetic,english,sentence_notes,sources
dbf1e5075bd5,ᎦᏙ ᎤᏍᏗ * ᎭᏓᏅᏖᎭ?*,gado u:sdi * hada:nhtě:ha *,What are *you thinking about?*,,cn-app-dictionary.csv
0c4fd8ad9f48,ᎪᏍᏗᏊ * ᎢᏣᏓᏅᏖᏗ * ᎢᏨᏁᎭ.,gő:sdigwû * ì:jada̋:nhtehdî * ì:jv̀:neho,I'm just giving *you* something *to think about.*,,cn-app-dictionary.csv
e7198b4cb1f3,ᎪᏍᏗ ᏥᏃᎯᏎᎸ * ᎠᏓᏅᏖᎯᎶᎠ.*,go:hű:sdi jì:no:hise:lv̋ * à:da:nhte:hí:lo'â *,*He's considering* something I told him.,,cn-app-dictionary.csv
fa80dc164f07,ᏙᏯ ᎾᎥ ᏱᎦᎷᏤᎳ * ᎠᏓᏃᏴᏟᏍᏗᏍᎪᎢ.*,do:ya na'v̋ yigáluhche̋:la * à:dano:hyv:hlisdi:sgó:'i *,When you get close to a beaver‚ *it makes noise.*,,cn-app-dictionary.csv
ea1f640ab218,ᎤᏔᎾ ᎢᎾᏓ * ᎠᏓᎾᏏᏂ.*,ű:tana i:nada * à:dansi:ni *,A big snake *is crawling.*,,cn-app-dictionary.csv
61bb1b89e353,ᎠᎦᎷᎦ ᎤᏩᏂᎳ ᏡᎬᎢ * ᎤᏓᏄᏖᏲᎸᎢ.*,a:galu:ga uwa̋:hnila dluhgv̋:'i * ù:danú:te:yô:lv̌:'i *,When the twister hit the tree‚ *it twisted.*,,cn-app-dictionary.csv
e49c254270b6,ᏍᎪᎯ ᏧᏕᏘᏴᏓ ᎤᏁᎳᏛᎢ ᏓᎵᏆ. ᎩᎳ ᎤᏚᎸᎲ * ᎤᏓᏅᏍᏗᎢ.*,sgǒ:hi ju:de:tiyv̋:da ù:ně:ládv́: daligwa kila ù:du:lv:hv́ * u:dá'nv̀:sdi̋:yi *,He lived in Tahlequah for ten years‚ then *he* wanted to *move.*,,cn-app-dictionary.csv
92c358523ee4,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ * ᎠᏓᏅᏍᎪᎢ.*,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la * à:danv:sgó:'i *,*He orders* a new car every year.,,cn-app-dictionary.csv
a3c8d011fddc,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ ᎠᏓᏅᏍᎪᎢ.,su:de:tiyv̋:da iyú:da̋:li ije̋: dagwalé:la *à:danv:sgó:'i*,*He orders* a new car every year.,,cn-app-dictionary.csv
f048d629c43f,* ᎠᏓᏍᏓᏴᏗ * ᎠᏯᎠ ᏗᏖᎵᏙ ᏕᎬᏗᏰᎠ.,* ada:sdà:yhdi̋* à:yá'a di:te:li:dó de:gv́:dǐ:yé'a,She's in the *kitchen* washing dishes.,,cn-app-dictionary.csv
4a92450aa246,Ꮭ ᎠᏎ * ᏣᏓᏍᏓᏴᏗ * ᏱᎩ‚ ᏝᎮᏃ ᏯᎩᏲᏏᎭ.,hla a:sé * jada̋:sdà:yhdi * yigi hláhe:hnó yagíyò:sǐ:ha,You don't have *to cook‚* because I'm not hungry.,,cn-app-dictionary.csv
3c67452c1eab,ᎢᎦᏓ ᎠᏂᏣᎳᎩ ᎤᏂᎸᏉᏗ * ᎠᏂᏓᏪᎯ * ᏧᏂᏃᎮᏗᎢ.,igá:da ani:jalagi u:ni:lv̋:kwdi * ani:dá:we̋:hi * ju:ni:hno:hehdi̋:yi,Some Cherokees like to talk about *magicians.*,,cn-app-dictionary.csv
2028dc45e9c6,ᏙᏳ * ᎠᏂᏓᏪᎯ * ᎨᏐ ᎢᎦᏓ ᎠᏂᏣᎳᎩ.,do:yű: * ani:dá:wé:hi * gè:só: i:gá:da ani:jalagi,Some Cherokees are very *magical.*,,cn-app-dictionary.csv
e6d2dcc00988,ᎠᏥᎳ ᎪᏢᏗ * ᎠᏓᏪᎳᎩᎠ.*,ajǐ:la gő:hlvhdi * à:dawě:lági'a *,The match is *burning.*,,cn-app-dictionary.csv
02540ef429bd,* ᎠᏓᏪᎳᎩ * ᏍᎬ ᏚᎴᎢᏔᏅ ᎦᏐᎯᎢ.,* à:dawě:lágì *:sgv̋: dù:lé:yhtanv́ ga:sohi̋:'i,The *flame* burned his back.,,cn-app-dictionary.csv
9f47ed9ce220,* ᎠᏓᏪᎳᎩᏍᎩ * ᎤᏃᏢᏗ ᏧᎸᏫᏍᏓᏁᎸ ᎡᏙᏓ.,* adawe:lagì:sgi * u:no:hlvhdi̋: ju:lv:hwísdà:ně:lv́ e:do:da,My dad works in a place where they make *gunpowder.*,,cn-app-dictionary.csv
4407d8aa4c19,* ᎭᏓᏪᏐᎸᏍᏓ.* ᏙᏔᏍᏔᏰᏎᎦ.,* hadawè:so:lv̌:sda * do:tâ:staye:sê:ga,*Rest.* You'll get exhausted.,,cn-app-dictionary.csv
ba8b380a65eb,*ᎠᏓᏫ* ᏧᏙᎢᏓ ᎠᏍᎦᏯ ᎤᏚᎵ ᏍᏓᏟᏃᎮᏗ.,*ǎ:dáwi ju*:dő:'ida asgaya ù:du:li sdahlino:hehdi̋,A man named *Adam* wants to speak to you.,,cn-app-dictionary.csv
0e4e49a69f29,ᏣᎸᏉᏗᏍ * ᏣᏓᏬᏍᏗ?*,jalv̌:kwdís * jadawò:sdi̋*,Do *you* like to *swim?*,,cn-app-dictionary.csv
0412e2fab809,ᎤᏪᏴ ᎠᏆᏓᏬᏍᏗ ᎤᎪᏓ ᎠᎩᎸᏉᏓ ᏏᏃ * ᎠᏓᏬᏍᏗ * ᎨᏒᎢ.,ù:wé:yv̋: agwadawò:sdi̋: ù:gô:da à:gilv̌:kwda  si:hnó: * adawò:sdi̋* gè:sv̋:'i,I like to swim in a creek more than in a *swimming pool.*,,cn-app-dictionary.csv
934460cbe5c8,ᎭᏢ ᏣᎩᏎ Ꮎ ᎤᎵᏑᏫᏓ * ᎠᏓᏴᎳᏛᏍᎩ?*,ha:dlv̋ jagí:sé ná u:lsű:hwidâ * adayv̋:latvsgi *,Where did you get the color *television?*,,cn-app-dictionary.csv
