Index,Source,Source_Long,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Definition_Long,Cross_Reference,Plural,Plural_Syllabary,Verb_1st_Present,Verb_1st_Present_Syllabary,Verb_3rd_Past,Verb_3rd_Past_Syllabary,Verb_3rd_Present_Habitual,Verb_3rd_Present_Habitual_Syllabary,Verb_2nd_Imperative,Verb_2nd_Imperative_Syllabary,Verb_3rd_Infinitive,Verb_3rd_Infinitive_Syllabary,Entry_Tone,Plural_Tone,Verb_1st_Present_Tone,Verb_3rd_Past_Tone,Verb_3rd_Present_Habitual_Tone,Verb_2nd_Imperative_Tone,Verb_3rd_Infinitive_Tone,Audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",ganiliquatlisgi utana,ᎦᏂᎵᏆᏟᏍᎩ ᎤᏔᎾ,n,noun,noun,Scutellaria lateriflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","ganiqualasgi ayatali, distayi","ᎦᏂᏆᎳᏍᎩ ᎠᏯᏔᎵ, ᏗᏍᏔᏱ",n,noun,noun,Ascyrum hypericoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",ganiquilisgi,ᎦᏂᏈᎵᏍᎩ,n,noun,noun,Stylosanthes biflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",ganiquilisgi,ᎦᏂᏈᎵᏍᎩ,n,noun,noun,Euphorbia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","ganiquilisgi, inadu watsita, utsanvdi uwasitana, utsanagoda","ᎦᏂᏈᎵᏍᎩ, ᎢᎾᏚ ᏩᏥᏔ, ᎤᏣᏅᏗ ᎤᏩᏏᏔᎾ, ᎤᏣᎾᎪᏓ",n,noun,noun,Prunella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","ganiquilisgi, quanvdislogati sagonige atsilosgi, sana","ᎦᏂᏈᎵᏍᎩ, ᏆᏅᏗᏍᎶᎦᏘ ᏌᎪᏂᎨ ᎠᏥᎶᏍᎩ, ᏌᎾ",n,noun,noun,Vernonia noverboracensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",gausagi,ᎦᎤᏌᎩ,n,noun,noun,Satureja hortensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee",gegowedowido,ᎨᎪᏪᏙᏫᏙ,n,noun,noun,Helianthemum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","giga tsuya, giga tsuyai, daloni","ᎩᎦ ᏧᏯ, ᎩᎦ ᏧᏯᎢ, ᏓᎶᏂ",n,noun,noun,Lyscimachia quadrifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,banks,"Banks, William H. Jr. (1953), ""Ethnobotany of the Cherokee Indians. "" Master's Thesis, University of Tennessee","giga tsuyai, ganiquatlisgi","ᎩᎦ ᏧᏯᎢ, ᎦᏂᏆᏟᏍᎩ",n,noun,noun,Hypericum perforatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
