sentence_id,syllabary,phonetic,english,error_type,source,base_form_id,base_word_syllabary,base_word_phonetic,base_word_english
43c863afe558,* ᎤᏁᎩᎸᏗ * ᎠᏓᏁᎸ ᎤᏗᏍᎦᏢᎢ.,u:ne̋:gilhdí à:da:ne:lv̋ * ù:di:sgalhanv́:'i *,He was hiding in an *ugly* house.,asterisk_mismatch,cn-app-dictionary.csv,e2d94b9a82ae79ac,ᎤᏁᎩᎸᏗ,unegihldi,
41c345a93e20,* ᎦᏅᏆᎶᏍᏗ * ᏥᎩᏗᏁᏍᎨᏍᎩ ᎤᏮᏔᏂᏓᏍᏗ.,* ganv:gwalő:sdi * ji̋gi di:hnè:sge̋:sgi uwhtani̋:dà:sdi,*A hammer* is a carpenter's tool.,word_count_mismatch,cn-app-dictionary.csv,7bdbe6ac9b0a54fe,ᎦᏅᏆᎶᏍᏗ,ganvgwalosdi,
0eea5d540cde,ᎯᏰᎩ ᎠᎪᏎᎳ‚ ᎤᏰᏨᎢ.,* hiyè:gi * à:gò:se̋:la * ù:yé:jv̌:'i *,When he was told to *wake up‚ he woke up.*,asterisk_mismatch,cn-app-dictionary.csv,369dd7b66cacbc72,ᎠᏰᎦ,ayega,
8ec54e8f05db,Ꮭ ᏳᎸᏉᏗ ᎩᎶ ᎤᎪᏩᏛᏗ Ꭴ * ᏁᎸᏒᎢ.*,hla yu:lv̌:kwdi kilő: ugo:wahtvhdi̋: * ù:hne:lv́:sv̋:'i *,He doesn't like for anyone to see *his scar.*,word_count_mismatch,cn-app-dictionary.csv,7f0ac504417b428a,ᎤᏁᎸᏒᎢ,uhnelvsv'i,
93da29d79a77,ᏂᎪᎯᎸ * ᎠᎵᏔᏬᏍᎪᎢ *‚ ᎥᏍᎩᏅ ᎢᏳᏍᏗ ᎤᏬᏚᎯ ᏧᏍᏘᎦ.,nigo:hí:lv̋: * alhtawó:sgó:* v̀:sgihnó: iyű:sdi uwo:dű:hi jù:stíhga,*She combs her hair* all the time‚ and that's why she has pretty hair.,word_count_mismatch,cn-app-dictionary.csv,844c57b8d0eb34d7,ᎠᎵᏔᏬᎠ,ahltawo'a,
765146aee001,* ᏙᏓᏥᎶᏁᎢᏒ * ᎦᏰᏫᏍᎩ ᎠᏎᏅ ᎦᏳᎳ ᏧᎶᏁᏓ ᎨᏒᎢ.,* do:dajílo:né'ì:sv́* ga:yě:wsgí a:sé:hnó: gá:yu:la * ju:lo:ne̋:da * gè:sv̌:'i,*I was going to oil* the sewing machine‚ but she had already *oiled it.*,asterisk_mismatch,cn-app-dictionary.csv,5016029ec62d9727,ᎦᎶᏁᎠ,galone'a,
785090f49d0d,ᏞᏍᏗ ᏱᏣᏁᎫᏤᏍᏗ.,* hlè:sdi * yijané:gù:jé:sdi,Don't be mean.,asterisk_mismatch,cn-app-dictionary.csv,c2de65c07e3f2324,ᏞᏍᏗ,hlesdi,
de1ff6c00632,ᏱᎰᏩ ᏚᏙᎠ * ᎤᏁᏝᏅ * Ꭿ ᎠᏗᎭ ᎦᎸᏉᏗ ᎪᏪᎵ.,yihǒ:wa dù:dó'a * u:ne:hlánv:hi * à:dǐ:ha galv̋:kwdi gohwelí,The Bible says *God*'s name is Jehovah.,word_count_mismatch,cn-app-dictionary.csv,da07adfafe12f15e,ᎤᏁᏝᏅᎯ,Unehlanvhi,
fd7426f9d7a2,* ᎡᎳ * ᏗᏍ ᎯᎷᎩ?,* e:ladís * hí'luhgî,Did you come on *foot?*,word_count_mismatch,cn-app-dictionary.csv,3c72ee832dc117dd,ᎡᎳᏗ,eladi,
f4c8de81d0c9,ᎯᎩ ᏂᏕᎦᎵᏍᏔᏂᏒ * ᎬᎩ * ᏍᏗ ᏓᏛᎯᏍᏗᏍᎪᎢ.,go:gi nide:gálstaní:sv̋: * gv:gì:sdi * dà:tvhisdǐ:sgó:'i,He raises *watermelons* every summer.,word_count_mismatch,cn-app-dictionary.csv,c8c3358fe0ae2c46,ᎬᎩᏍᏗ,gvgisdi,
2ab6cc54e06f,* ᎦᏃᏍᎩ * ᏍᎩ ᎠᏥᏩᏛᏔᏅ ᎦᏃᏍᎩᏍᎬᎢ.,* gano:sgi̋*:sgi à:jì:wahtvhtanv́ gano:sgí:sgv̋:'i,"""A thief"" was caught stealing.",word_count_mismatch,cn-app-dictionary.csv,b54eefecdd957fdb,ᎦᏃᏍᎩᏍᎩ,ganosgisgi,
f7a75467b5cf,ᎤᏁᎫᏨ ᎢᏳᏍᏗ ᎤᏪᏥ ᎠᏧᏣ ᏂᎪᎯᎸ ᎦᏬᏅ * ᏗᏍᎪᎢ.*,u:ne:gú:jv̋: iyű:sdi uwě:ji achű:ja nigo:hí:lv̋ * gawó:nhdǐ:sgó:'i *,Because his son is so mean‚ *he* always *lectures* him.,word_count_mismatch,cn-app-dictionary.csv,c81cd78c8a939847,ᎦᏬᏅᏗᎭ,gawonhdiha,
797daa51b2c6,* ᏥᏈᏍᏗ * ᏃᏈᏏ ᎠᏂᎧᎳ ᎪᎯ ᎤᏒᎢ.,tsgwi̋:sdi * nokwsi * à:ni:ká'la kò:hi usv̋:'i,There are a lot of *stars* out tonight.,asterisk_mismatch,cn-app-dictionary.csv,3800843220a9a51b,ᏃᏈᏏ,nokwsi,
34db0d437d94,* ᏥᏯᏓᏱᎭ *‚ Ꮭ ᏥᏲᎵᎦ ᏱᎩ.,* ji:dayíha * hla ji:yő:lì:ga yigi,*I am denying him‚* I just don't know him.,word_count_mismatch,cn-app-dictionary.csv,9d71a16d45a1d8b3,ᎠᏓᏱᎭ,adahyiha,
f81cb493fcaa,ᎦᏙᎯ Ꭴ * ᎯᏌᏔ.*,ga:dő:hi * ù:hí:sata *,*There's dew* on the ground.,word_count_mismatch,cn-app-dictionary.csv,f1a7a06c9015b2c2,ᎤᎯᏌᏔ,uhisata,
edc4792ddb38,ᎭᏢ * ᎢᏴ ᏓᏥᏂᏝᏗ?*,ha:hlv̋ iyv̋ * dajinî:hlá'di *,Where shall I *set up* the bed?,asterisk_mismatch,cn-app-dictionary.csv,0ed4f1e616563ce5,ᎦᏂᏝᏗᎠ,ganihladi'a,
