base_id,sentence_id,source file,gloss_english,gloss_phonetic,gloss_syllabary,source
6a1ef36b2ab737c0,e078056fe581,cn-app-dictionary.csv,curve.,à:dé:yohv̋:’i,ᎠᏕᏲᎲᎢ.,Cherokee Dictionary 1975 Durbin Feeling
0569f2d91ccd3686,d7b0c7439f5b,cn-app-dictionary.csv,I am going to lay,dají’dî,ᏓᏥᏗ,Cherokee Dictionary 1975 Durbin Feeling
e2b1b6cf41cfbe46,9b9afa412229,cn-app-dictionary.csv,I rise,gadi:dǐ:sgó:’i,ᎦᏗᏗᏍᎪᎢ.,Cherokee Dictionary 1975 Durbin Feeling
1d9789bb810dd355,84fcfdb45357,cn-app-dictionary.csv,He scattered,dù:di:galé:yv,ᏚᏗᎦᎴᏴ,Cherokee Dictionary 1975 Durbin Feeling
93b531dd5f79b01c,d5e414bd552d,cn-app-dictionary.csv,scattered,ù:digalě:jô:jv́,ᎤᏗᎦᎴᏲᏨ,Cherokee Dictionary 1975 Durbin Feeling
3875233daac0346e,6baac0ce4b7e,cn-app-dictionary.csv,spinning,à:dí:gwalv:dé:yoha,ᎠᏗᏆᎸᏕᏲᎭ,Cherokee Dictionary 1975 Durbin Feeling
31e06afe8cb02165,bde69e7a2d64,cn-app-dictionary.csv,is he saying?,à:dǐ:ha,ᎠᏗᎭ?,Cherokee Dictionary 1975 Durbin Feeling
a46cedae696a0be3,a04b0cc27f88,cn-app-dictionary.csv,run over,nàgwadǐ:nv̂:tanv̌:’i,ᎾᏆᏗᏅᏔᏅᎢ.,Cherokee Dictionary 1975 Durbin Feeling
f330811b6bd18795,99d4086c4820,cn-app-dictionary.csv,he hid.,ù:di:sgahlanv́:’i,ᎤᏗᏍᎦᏝᏅᎢ.,Cherokee Dictionary 1975 Durbin Feeling
c6dd55b925ae6280,dede875e097d,cn-app-dictionary.csv,Leave,hidì:sǐ:ya,ᎯᏗᏏᏯ,Cherokee Dictionary 1975 Durbin Feeling
18bbdb492391d814,fd4ee923eeb1,cn-app-dictionary.csv,drink,adi̋:tasdi,ᎠᏗᏔᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
a370c386aba5d8a6,a5ad130044c2,cn-app-dictionary.csv,drink,à:nadi:tasgó:’i,ᎠᎾᏗᏔᏍᎪᎢ.,Cherokee Dictionary 1975 Durbin Feeling
64bd44efa1b63764,c8b709bf694e,cn-app-dictionary.csv,spoon.,adi:tóhdi̋:,ᎠᏗᏙᏗ,Cherokee Dictionary 1975 Durbin Feeling
8a6c765a0ddce3cf,5c4265b7bddf,cn-app-dictionary.csv,rubber.,a:dla,ᎠᏜ,Cherokee Dictionary 1975 Durbin Feeling
1207ab3e2f19cf8a,295728eec00d,cn-app-dictionary.csv,scratching,à:dlago:sga,ᎠᏜᎪᏍᎦ,Cherokee Dictionary 1975 Durbin Feeling
bb5d72529b002ce7,b197adc7311e,cn-app-dictionary.csv,coat pocket.,à:dlǎ:wá’dv̋:,ᎠᏜᏩᏛ,Cherokee Dictionary 1975 Durbin Feeling
64b9cb0a47a82907,8dc602e4008b,cn-app-dictionary.csv,did he turn off?,ù:dlé:sé:’i,ᎤᏞᏎᎢ?,Cherokee Dictionary 1975 Durbin Feeling
f2703b4f7e8caa3a,e41852421e56,cn-app-dictionary.csv,to take revenge,ù:du:lv:hv́,ᎤᏞᏤᏗ,Cherokee Dictionary 1975 Durbin Feeling
09f798c74b01bf1e,6a406f467e06,cn-app-dictionary.csv,revenge.,adle’isdi,ᎠᏞᎢᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
f4c107715b1b287d,328302679bd6,cn-app-dictionary.csv,apron,adlè:sadó,ᎠᏞᏌᏙ,Cherokee Dictionary 1975 Durbin Feeling
782f7cea419377f8,c48bbcc20949,cn-app-dictionary.csv,turn-off.,à:dlé:sgv̋:’i,ᎠᏞᏍᎬᎢ.,Cherokee Dictionary 1975 Durbin Feeling
52826352d34a3127,6c72e6eff461,cn-app-dictionary.csv,is she pouring?,à:dlí’a,ᎠᏟᎠ?,Cherokee Dictionary 1975 Durbin Feeling
20cdd561a4d9fca0,e9a68bdf4d05,cn-app-dictionary.csv,earrings,di:dlí’adó,ᏗᏟᎠᏙ,Cherokee Dictionary 1975 Durbin Feeling
33cd7a9016448e47,a2863ffa1737,cn-app-dictionary.csv,swimming‚,ù:dlî:jv́,ᎤᏟᏨ,Cherokee Dictionary 1975 Durbin Feeling
ecb4abaea0562db4,3f8d7529027a,cn-app-dictionary.csv,He’s drawing,à:dlǐ:ha,ᎠᏟᎭ,Cherokee Dictionary 1975 Durbin Feeling
8d0bc60dd9228319,9bb229dec631,cn-app-dictionary.csv,is she pouring it into?,à:dlí:sdi:ha,ᎠᏟᏍᏗᎭ?,Cherokee Dictionary 1975 Durbin Feeling
26a303e52db87c70,9022a41ee972,cn-app-dictionary.csv,containers.,di̋:dlì:sdohdi,ᏗᏟᏍᏙᏗ,Cherokee Dictionary 1975 Durbin Feeling
4dc4ecd86f888a2f,d0a8b1ba1398,cn-app-dictionary.csv,cry.,jadlo:hyilv́:’i,ᏣᏠᏱᎸᎢ.,Cherokee Dictionary 1975 Durbin Feeling
b2cb82b0d6d40f07,ae9919552e2f,cn-app-dictionary.csv,he,ù:dlô:ysv́,ᎤᏠᎢᏒ,Cherokee Dictionary 1975 Durbin Feeling
b2cb82b0d6d40f07,ae9919552e2f,cn-app-dictionary.csv,got off,,,Cherokee Dictionary 1975 Durbin Feeling
2e18c8d8ce56a099,bfab5e25ea17,cn-app-dictionary.csv,just brag,à:dlv̌:kwsgv̋:gwu,ᎠᏢᏈᏍᎬᏊ,Cherokee Dictionary 1975 Durbin Feeling
1a4b97f1dff4c381,bab63b5a37da,cn-app-dictionary.csv,you,hyi:yadlv́:ta,ᏱᏯᏢᏔ,Cherokee Dictionary 1975 Durbin Feeling
1a4b97f1dff4c381,bab63b5a37da,cn-app-dictionary.csv,catch up with him?,,,Cherokee Dictionary 1975 Durbin Feeling
7f1336726d7e7e9e,8b6fefcf07b6,cn-app-dictionary.csv,walking canes,di:do:lanv́:sdi,ᏗᏙᎳᏅᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
7104fb63adba3626,876d27c79d4c,cn-app-dictionary.csv,sorcerer?,a:dǒ:ni̋:sgi,ᎠᏙᏂᏍᎩ,Cherokee Dictionary 1975 Durbin Feeling
fe11b2b82da4cf61,01cb6c2f3ee8,cn-app-dictionary.csv,freedom,adu:dale̋:sdi,ᎠᏚᏓᎴᏍᏗ?,Cherokee Dictionary 1975 Durbin Feeling
dad05922743095aa,5f6b17707a72,cn-app-dictionary.csv,German,adaji,ᎠᏓᏥ,Cherokee Dictionary 1975 Durbin Feeling
3b91391b4fc526ae,e1ec01ec5f51,cn-app-dictionary.csv,will you be doing,hadv́:ne:hé:sdi,ᎭᏛᏁᎮᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
a8b152b1fbbd37b9,82f888c93041,cn-app-dictionary.csv,He’s acting silly,à:dv́:ne:lǐ:ha,ᎠᏛᏁᎵᎭ.,Cherokee Dictionary 1975 Durbin Feeling
8ac5a89c3007acb7,d7352c72ed9a,cn-app-dictionary.csv,actor.,adv̀:ně:li̋:sgi,ᎠᏛᏁᎵᏍᎩ,Cherokee Dictionary 1975 Durbin Feeling
7089e94744caec44,eaeb9b96f0f3,cn-app-dictionary.csv,I’m getting ready,,,Cherokee Dictionary 1975 Durbin Feeling
7089e94744caec44,f74936754186,cn-app-dictionary.csv,She prepares,à:dv:nv́’isdi:sgó,ᎠᏛᏅᎢᏍᏗᏍᎪ,Cherokee Dictionary 1975 Durbin Feeling
0519f94c5a878a8b,0fe302492f90,cn-app-dictionary.csv,dirty.,ani:ga:da:ha̋,ᎠᏂᎦᏓᎭ,Cherokee Dictionary 1975 Durbin Feeling
69d113d3cc7b75f8,34afb40c729d,cn-app-dictionary.csv,He’s,agahli̋:yi,ᎠᎦᏟᏱ,Cherokee Dictionary 1975 Durbin Feeling
69d113d3cc7b75f8,34afb40c729d,cn-app-dictionary.csv,eager,,,Cherokee Dictionary 1975 Durbin Feeling
5bb5be2edd188750,684c28cb82bb,cn-app-dictionary.csv,shines,à:gá:li:sgó,ᎠᎦᎵᏍᎪ,Cherokee Dictionary 1975 Durbin Feeling
da456f27ee69529f,a49360e4e718,cn-app-dictionary.csv,to cut,u:gà:lsdi̋,ᎤᎦᎳᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
da456f27ee69529f,673c049f6e66,cn-app-dictionary.csv,He broke,ù:gâ:lsv́,ᎤᎦᎳᏒ,Cherokee Dictionary 1975 Durbin Feeling
2c79412072ca10bf,f4257c06e6c9,cn-app-dictionary.csv,twisters,a:galǔ:ga,ᎠᎦᎷᎦ,Cherokee Dictionary 1975 Durbin Feeling
5ee4be239970ec5d,9e4736702575,cn-app-dictionary.csv,to lick,u:ni:ganǎ:dî:sdi̋,ᎤᏂᎦᎾᏗᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
c5a639aabc366f6d,cf85726bdf00,cn-app-dictionary.csv,doctor’s,agánakti,ᎠᎦᎾᎦᏘ,Cherokee Dictionary 1975 Durbin Feeling
4a3872a8ac432c30,4825d69f8b2a,cn-app-dictionary.csv,He’s warming,dà:ga:nowhdǐ:ha,ᏓᎦᎾᏬᏗᎭ.,Cherokee Dictionary 1975 Durbin Feeling
25cc1d92ccc9b4e4,c1563bd96b21,cn-app-dictionary.csv,it gets warm.,à:ga:nawo:sgó:’i,ᎠᎦᎾᏬᏍᎪᎢ.,Cherokee Dictionary 1975 Durbin Feeling
41266b7e36c2ecd7,df92b8526d2b,cn-app-dictionary.csv,It’s raining,à:ga:sga,ᎠᎦᏍᎦ,Cherokee Dictionary 1975 Durbin Feeling
fabc06528327e820,609a28832bba,cn-app-dictionary.csv,selected,agà:su:ye̋:da,ᎠᎦᏑᏰᏓ,Cherokee Dictionary 1975 Durbin Feeling
6bd614b452335b59,8f2c7923edb5,cn-app-dictionary.csv,seine,agá:yalű:di,ᎠᎦᏯᎷᏗ,Cherokee Dictionary 1975 Durbin Feeling
af2d83b2ae561a37,ff38ed0bc536,cn-app-dictionary.csv,old,agayv̋:li,ᎠᎦᏴᎵ,Cherokee Dictionary 1975 Durbin Feeling
082dcf25e079f74f,a2625e15530a,cn-app-dictionary.csv,old woman,agayv̌:líge̋:’i,ᎠᎦᏴᎵᎨ~,Cherokee Dictionary 1975 Durbin Feeling
81fcb6cc4f89adfb,fb76dc5d5a97,cn-app-dictionary.csv,over there,á:ge̋:,ᎠᎨ,Cherokee Dictionary 1975 Durbin Feeling
b635500252a18ec0,45acaaa43101,cn-app-dictionary.csv,woman?,agě:hya,ᎠᎨᏯ?,Cherokee Dictionary 1975 Durbin Feeling
4c14c0fec6b8e32b,69d50e03beec,cn-app-dictionary.csv,girls,ani:gě:hyű:ja,ᎠᏂᎨᏳᏣ,Cherokee Dictionary 1975 Durbin Feeling
b8c1c1dfbf1d6afd,7460944091d9,cn-app-dictionary.csv,to eat,u:ni:gì:sdi̋,ᎤᏂᎩᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
bef16ce2eafc748f,95628e619fcf,cn-app-dictionary.csv,he picked it up.,ù:gí:sv̌:’i,ᎤᎩᏒᎢ.,Cherokee Dictionary 1975 Durbin Feeling
bef16ce2eafc748f,53eaf3747e2e,cn-app-dictionary.csv,gets,à:gí:sgó:’i,ᎠᎩᏍᎪᎢ.,Cherokee Dictionary 1975 Durbin Feeling
32aaf37b823e2df7,81921e9fa56e,cn-app-dictionary.csv,agony,agi:tli̋:yi,ᎠᎩᏟᏱ,Cherokee Dictionary 1975 Durbin Feeling
83a2b641ae919d80,85d60ed0a819,cn-app-dictionary.csv,He was in pain,ù:gi:hliyô:jv:’î,ᎤᎩᏟᏲᏨᎢ.,Cherokee Dictionary 1975 Durbin Feeling
82f00cb803218c4e,e51892c6a80b,cn-app-dictionary.csv,colt.,agi̋:na,ᎠᎩᎾ,Cherokee Dictionary 1975 Durbin Feeling
e070eef42d0a667c,63cc9476407f,cn-app-dictionary.csv,something to eat,ágì:sdi,ᎠᎩᏍᏗ,Cherokee Dictionary 1975 Durbin Feeling
c724806b851474c6,0a11a4084393,cn-app-dictionary.csv,chews,à:gî:sdò:sgó:’i,ᎠᎩᏍᏙᏍᎪᎢ.,Cherokee Dictionary 1975 Durbin Feeling
2cb5e89ee99782d9,a0b1d226432d,cn-app-dictionary.csv,hens,ani:gǐ:si,ᎠᏂᎩᏏ,Cherokee Dictionary 1975 Durbin Feeling
cd0746b3cfc5f0ac,c1216ec8e4b4,cn-app-dictionary.csv,He’s burning,dà:góhvsdi:ha,ᏓᎪᎲᏍᏗᎭ,Cherokee Dictionary 1975 Durbin Feeling
