error,base_id,source,engl,phon,syll,text
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),847b2e84e75e14c8,cn-app-dictionary.csv,,*ji:ya:dǒ:lî:gagwu*,ᏥᏯᏙᎵᎦᏊ.,
Mismatched asterisk count: Syllabary(0) vs Phonetic(1),847b2e84e75e14c8,cn-app-dictionary.csv,,*ji:ya:dǒ:lî:gagwu*,ᏥᏯᏙᎵᎦᏊ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(2),5016029ec62d9727,cn-app-dictionary.csv,,*do:dajílo:né’ì:sv́* ga:yě:wsgí a:sé:hnó: gá:yu:la *ju:lo:ne̋:da* gè:sv̌:’i,*ᏙᏓᏥᎶᏁᎢᏒ* ᎦᏰᏫᏍᎩ ᎠᏎᏅ ᎦᏳᎳ ᏧᎶᏁᏓ ᎨᏒᎢ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(2),5016029ec62d9727,cn-app-dictionary.csv,,*do:dajílo:né’ì:sv́* ga:yě:wsgí a:sé:hnó: gá:yu:la *ju:lo:ne̋:da* gè:sv̌:’i,*ᏙᏓᏥᎶᏁᎢᏒ* ᎦᏰᏫᏍᎩ ᎠᏎᏅ ᎦᏳᎳ ᏧᎶᏁᏓ ᎨᏒᎢ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(2),5016029ec62d9727,cn-app-dictionary.csv,,*do:dajílo:né’ì:sv́* ga:yě:wsgí a:sé:hnó: gá:yu:la *ju:lo:ne̋:da* gè:sv̌:’i,*ᏙᏓᏥᎶᏁᎢᏒ* ᎦᏰᏫᏍᎩ ᎠᏎᏅ ᎦᏳᎳ ᏧᎶᏁᏓ ᎨᏒᎢ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(2),5016029ec62d9727,cn-app-dictionary.csv,,*do:dajílo:né’ì:sv́* ga:yě:wsgí a:sé:hnó: gá:yu:la *ju:lo:ne̋:da* gè:sv̌:’i,*ᏙᏓᏥᎶᏁᎢᏒ* ᎦᏰᏫᏍᎩ ᎠᏎᏅ ᎦᏳᎳ ᏧᎶᏁᏓ ᎨᏒᎢ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(2),5016029ec62d9727,cn-app-dictionary.csv,,*do:dajílo:né’ì:sv́* ga:yě:wsgí a:sé:hnó: gá:yu:la *ju:lo:ne̋:da* gè:sv̌:’i,*ᏙᏓᏥᎶᏁᎢᏒ* ᎦᏰᏫᏍᎩ ᎠᏎᏅ ᎦᏳᎳ ᏧᎶᏁᏓ ᎨᏒᎢ.,
Mismatched asterisk count: Syllabary(1) vs Phonetic(2),5016029ec62d9727,cn-app-dictionary.csv,,*do:dajílo:né’ì:sv́* ga:yě:wsgí a:sé:hnó: gá:yu:la *ju:lo:ne̋:da* gè:sv̌:’i,*ᏙᏓᏥᎶᏁᎢᏒ* ᎦᏰᏫᏍᎩ ᎠᏎᏅ ᎦᏳᎳ ᏧᎶᏁᏓ ᎨᏒᎢ.,
Zero asterisks in sentence,89efc0b816beb665,cn-app-dictionary.csv,When he rang the bell‚ church services started.,u:halv:na ù:no:hyv̋:tlistana dà:ni:lâ:wì:gv̋: ù:dale:nv:hv̌:’i,ᎤᎭᎸᎾ ᎤᏃᏴᏟᏍᏔᎾ ᏓᏂᎳᏫᎬ ᎤᏓᎴᏅᎲᎢ.,
Zero asterisks in sentence,89efc0b816beb665,cn-app-dictionary.csv,When he rang the bell‚ church services started.,u:halv:na ù:no:hyv̋:tlistana dà:ni:lâ:wì:gv̋: ù:dale:nv:hv̌:’i,ᎤᎭᎸᎾ ᎤᏃᏴᏟᏍᏔᎾ ᏓᏂᎳᏫᎬ ᎤᏓᎴᏅᎲᎢ.,
