Index,Source,Entry,Syllabary,Part_of_Speech,PoS,PoS_Family,Definition,Cross_Reference,Entry_Tone,Other_Forms,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,banks,"guwa unega, tsuwi yusdi, guwi yusdi une","ᎫᏩ ᎤᏁᎦ, ᏧᏫ ᏳᏍᏗ, ᎫᏫ ᏳᏍᏗ ᎤᏁ",n,noun,noun,Platanus occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,banks,"gvsagi, gonvsadi","ᎬᏌᎩ, ᎪᏅᏌᏗ",n,noun,noun,Monarda spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,banks,"higinalii, utloda, utlada","ᎯᎩᎾᎵᎢ, ᎤᏠᏓ, ᎤᏝᏓ",n,noun,noun,Rhus radicans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,banks,"idaha, ideha, iteha","ᎢᏓᎭ, ᎢᏕᎭ, ᎢᏖᎭ",n,noun,noun,Tilia americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,banks,"kanagilisgi, dusugo","ᎧᎾᎩᎵᏍᎩ, ᏚᏑᎪ",n,noun,noun,Rhododendron calendulaceum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,banks,kanasogulo,ᎧᎾᏐᎫᎶ,n,noun,noun,Pastinaca sativa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,banks,"kanesita, kanusita, ganatsido, kanasita","ᎧᏁᏏᏔ, ᎧᏄᏏᏔ, ᎦᎾᏥᏙ, ᎧᎾᏏᏔ",n,noun,noun,Cornus florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,banks,"kaneskawodi, gosduda, gosdudaulu","ᎧᏁᏍᎧᏬᏗ, ᎪᏍᏚᏓ, ᎪᏍᏚᏓᎤᎷ",n,noun,noun,Anaphalis spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,banks,kaniga,ᎧᏂᎦ,n,noun,noun,Viburnum acerifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,banks,kaniga,ᎧᏂᎦ,n,noun,noun,Viburnum cassinoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,banks,"katsatsi, kalisedigi, kasedigi","ᎧᏣᏥ, ᎧᎵᏎᏗᎩ, ᎧᏎᏗᎩ",n,noun,noun,Gleditsia triacanthos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,banks,"nanoudedodi, tsuyatali talawadeisdi","ᎾᏃᎤᏕᏙᏗ, ᏧᏯᏔᎵ ᏔᎳᏩᏕᎢᏍᏗ",n,noun,noun,Plantago spp. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,banks,"nesquedugi, uwaga","ᏁᏍᏇᏚᎩ, ᎤᏩᎦ",n,noun,noun,Passiflora incarnata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,banks,"noda usdia, ata","ᏃᏓ ᎤᏍᏗᎠ, ᎠᏔ",n,noun,noun,Rudbeckia spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,banks,"nodaqueya, nadoquaya, nadoqueya, nadvqueya","ᏃᏓᏇᏯ, ᎾᏙᏆᏯ, ᎾᏙᏇᏯ, ᎾᏛᏇᏯ",n,noun,noun,Oxydendrum arboreum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,banks,nugala gadusi ehi,ᏄᎦᎳ ᎦᏚᏏ ᎡᎯ,n,noun,noun,Rubus argutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,banks,"nugatla, nugala","ᏄᎦᏝ, ᏄᎦᎳ",n,noun,noun,Rubus flagellaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,banks,nuna agodanei,ᏄᎾ ᎠᎪᏓᏁᎢ,n,noun,noun,Oxypolis rigidior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,banks,nuna uganasta iyusdi,ᏄᎾ ᎤᎦᎾᏍᏔ ᎢᏳᏍᏗ,n,noun,noun,Ipomea pandurata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,banks,"odaligali, gunvstiga, odaligatli, ataligali","ᎣᏓᎵᎦᎵ, ᎫᏅᏍᏘᎦ, ᎣᏓᎵᎦᏟ, ᎠᏔᎵᎦᎵ",n,noun,noun,Panax trifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,banks,"odaligali, gunvstiga, odaligatli, ataligali","ᎣᏓᎵᎦᎵ, ᎫᏅᏍᏘᎦ, ᎣᏓᎵᎦᏟ, ᎠᏔᎵᎦᎵ",n,noun,noun,Panax quinquefolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,banks,"qualvga, qualoga, kaloquastiyu anidawikagei, kaloquodidawiskagehi","ᏆᎸᎦ, ᏆᎶᎦ, ᎧᎶᏆᏍᏘᏳ ᎠᏂᏓᏫᎧᎨᎢ, ᎧᎶᏉᏗᏓᏫᏍᎧᎨᎯ",n,noun,noun,Rhus glabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,banks,quana,ᏆᎾ,n,noun,noun,Prunus persica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,banks,quaniyusdi,ᏆᏂᏳᏍᏗ,n,noun,noun,Cercis canadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,banks,"sanvdiwatli, sotiwutli","ᏌᏅᏗᏩᏟ, ᏐᏘᏭᏟ",n,noun,noun,Rubus idaeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,banks,sasa unigisdi,ᏌᏌ ᎤᏂᎩᏍᏗ,n,noun,noun,Achillea spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,banks,sela unagei,ᏎᎳ ᎤᎾᎨᎢ,n,noun,noun,Solanum nigrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,banks,"sodiwutli, nugatla","ᏐᏗᏭᏟ, ᏄᎦᏝ",n,noun,noun,Rubus occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,banks,sotsani,ᏐᏣᏂ,n,noun,noun,Rudbeckia laciniata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,banks,"suli, sali","ᏑᎵ, ᏌᎵ",n,noun,noun,Diospyros virginiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,banks,"suluyiluga, didanelawosgi","ᏑᎷᏱᎷᎦ, ᏗᏓᏁᎳᏬᏍᎩ",n,noun,noun,Clethra acuminata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,banks,"sunvkata, sonvkata aneyosdisodi tsusti inage ehi","ᏑᏅᎧᏔ, ᏐᏅᎧᏔ ᎠᏁᏲᏍᏗᏐᏗ ᏧᏍᏘ ᎢᎾᎨ ᎡᎯ",n,noun,noun,Pyrus malus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,banks,"tadisdiunigisdi, kladisunalisdii, kaladisdiunigisdi","ᏔᏗᏍᏗᎤᏂᎩᏍᏗ, kᎳᏗᏑᎾᎵᏍᏗᎢ, ᎧᎳᏗᏍᏗᎤᏂᎩᏍᏗ",n,noun,noun,Mitchella repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,banks,"talohi tsuwadesdi, tsuwadeidi","ᏔᎶᎯ ᏧᏩᏕᏍᏗ, ᏧᏩᏕᎢᏗ",n,noun,noun,Erigeron pulchellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,banks,taya,ᏔᏯ,n,noun,noun,Prunus virginiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,banks,"taya gadasiehi, quana unistiga","ᏔᏯ ᎦᏓᏏᎡᎯ, ᏆᎾ ᎤᏂᏍᏘᎦ",n,noun,noun,Prunus pennsylvanica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,banks,"taya, taya elu ehi, taya inage ehi","ᏔᏯ, ᏔᏯ ᎡᎷ ᎡᎯ, ᏔᏯ ᎢᎾᎨ ᎡᎯ",n,noun,noun,Prunus serotina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,banks,"telahadi, quatlusi, qualusa","ᏖᎳᎭᏗ, ᏆᏡᏏ, ᏆᎷᏌ",n,noun,noun,Vitis labrusca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,banks,"telini, telana","ᏖᎵᏂ, ᏖᎳᎾ",n,noun,noun,Crataegus spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,banks,"telodi, telaladi","ᏖᎶᏗ, ᏖᎳᎳᏗ",n,noun,noun,Vitis aestivalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,banks,"tgitgi tsunvsdi yusdi, tsisdu gatli, awigale","tᎩtᎩ ᏧᏅᏍᏗ ᏳᏍᏗ, ᏥᏍᏚ ᎦᏟ, ᎠᏫᎦᎴ",n,noun,noun,Hieracium venosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,banks,tili yusdi,ᏘᎵ ᏳᏍᏗ,n,noun,noun,Aruncus dioicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,banks,"tiliyusdi, kanasola","ᏘᎵᏳᏍᏗ, ᎧᎾᏐᎳ",n,noun,noun,Cicuta maculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,banks,"tsilali, tsiyali, tsilalu","ᏥᎳᎵ, ᏥᏯᎵ, ᏥᎳᎷ",n,noun,noun,Liquidambar styraciflua (sweetgum tree),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,banks,tsisqua dinota lugi,ᏥᏍᏆ ᏗᏃᏔ ᎷᎩ,n,noun,noun,Phyrma leptostachya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,banks,tsola gayoli,ᏦᎳ ᎦᏲᎵ,n,noun,noun,Nicotiana rustic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,banks,"tsoli yusdi tsaliyusdi, uniquotena, tsoliyusdi daloni, tsusquanoni","ᏦᎵ ᏳᏍᏗ ᏣᎵᏳᏍᏗ, ᎤᏂᏉᏖᎾ, ᏦᎵᏳᏍᏗ ᏓᎶᏂ, ᏧᏍᏆᏃᏂ",n,noun,noun,Verbascum thapsus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,banks,tsoliyusdi ustiga gadu usei,ᏦᎵᏳᏍᏗ ᎤᏍᏘᎦ ᎦᏚ ᎤᏎᎢ,n,noun,noun,Lobelia spicata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,banks,"tsoliyusdi, sgina tsunasadonv","ᏦᎵᏳᏍᏗ, ᏍᎩᎾ ᏧᎾᏌᏙᏅ",n,noun,noun,Lobelia inflata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,banks,"tsoliyusdi, tsoliequa","ᏦᎵᏳᏍᏗ, ᏦᎵᎡᏆ",n,noun,noun,Lobelia siphilitica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,banks,"tsunawagi, tlunawagi, tsawaga, tsuwagi, kalawagi, gigage atsilasgi","ᏧᎾᏩᎩ, ᏡᎾᏩᎩ, ᏣᏩᎦ, ᏧᏩᎩ, ᎧᎳᏩᎩ, ᎩᎦᎨ ᎠᏥᎳᏍᎩ",n,noun,noun,Acer rubrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
